experiment_id,variant_id,seed,cumulative_payoff,mean_payoff,early_exploitation_rate,betrayal_recovery_time,post_betrayal_p0_selection_rate,post_betrayal_p0_high_investment_rate,selection_gini,entropy_early,entropy_mid,entropy_late,beta_range,reengagement_rate,payoff_recovery,reengagement_latency,beta_pre,beta_betrayal,beta_repair,beta_recovery_r080,beta_recovery_r100,beta_recovery_r120,beta_recovery_r140,beta_recovery_r160,beta_recovery_r180,beta_recovery_r200
betrayal,alpha_0p1,14201,3757.0,9.3925,0.0,4.0,0.8,0.35,0.46,8.598169717523877,8.752947404721755,8.911249237512886,0.205338686424207,0.35443037974683544,0.8343409544268834,3.0,1.066655485435938,1.2614159070088342,1.1963704760414557,1.127227247387974,1.289165815240706,1.2888805724237646,1.2053604458557436,1.1862140547875213,1.1839317826374023,1.157940157546671
betrayal,alpha_0p1,14202,3705.0,9.2625,0.0,6.0,0.275,0.075,0.185,9.24307281697953,9.242068754353756,9.32183882560041,0.20529913106728231,0.189873417721519,0.9006896068890679,6.0,1.1265940127858145,1.1813344908724122,1.1498830344203312,1.1695899671762806,1.1931813893256948,1.1764191881544102,1.1702623927436797,1.1517456646070585,1.1498110813203586,1.1115463542521788
betrayal,alpha_0p1,14203,3985.0,9.9625,0.0,4.0,0.925,0.6,0.64,8.481808588067656,8.423632066304572,8.48926227494055,0.14845909989339173,0.8227848101265823,0.9049093321539142,0.0,1.108340011179251,1.2237891972654125,1.117416079763968,1.244922242581264,1.1803397393341502,1.1102679295867515,1.1356859235571581,1.0992142037982369,1.0991425727460578,1.2277895721927916
betrayal,alpha_0p1,14204,3825.0,9.5625,0.0,64.0,0.025,0.025,0.385,8.793840669861833,9.051636270046277,9.009431071961709,0.18876255178482154,0.10126582278481013,0.9535640343093761,18.0,1.0650117929649405,1.0817880859945175,1.1134038108345896,1.0816722411676882,1.0818504639781947,1.0818504639781947,1.0810643062629097,1.0988065761340127,1.1374553873923126,1.180967079204057
betrayal,alpha_0p1,14205,4179.0,10.4475,0.0,4.0,0.575,0.3,0.4425,8.468272400942704,8.776747864347863,8.483856315567726,0.18983293815884036,0.06329113924050633,1.0020855057351408,14.0,1.0130655941772846,1.2518008489799062,1.3024165624717394,1.1024590408537012,1.2793626369620257,1.3245395834266818,1.3150491677289795,1.3049152026659243,1.2868141299711287,1.2868141299711287
betrayal,alpha_0p1,14206,3630.0,9.075,0.0,4.0,0.725,0.225,0.3425,8.968765569141045,8.720595651371632,8.581199460188566,0.19491927344204624,0.2911392405063291,0.9881753748619867,0.0,1.1560454880535103,1.1836822821301252,1.072295582345671,1.2280070513526327,1.188254661157968,1.1328335151197038,1.0958322902312676,1.0623243291613367,1.0545155297362208,1.0296245063357232
betrayal,alpha_0p1,14207,3754.0,9.385,0.0,4.0,0.475,0.225,0.4,8.958950267199437,8.938601714820406,9.134522574516533,0.16818658642655182,0.3291139240506329,0.9137169621947141,0.0,1.1080325530302562,1.1659260483875176,1.1168936795001723,1.148782804566696,1.170431110994276,1.1289578821726876,1.1239986389969174,1.1073297591531548,1.115342185554522,1.1046901383586003
betrayal,alpha_0p1,14208,4098.0,10.245,0.0,4.0,0.125,0.025,0.6175,8.685625612487476,8.43950960600593,8.609861534713655,0.1948301968611288,0.0379746835443038,0.8495886159341786,27.0,1.1130922994959487,1.1958767586770058,1.1789754535770844,1.1973478450130273,1.198627821496894,1.1876483129177626,1.1876483129177626,1.1734355642988559,1.1734355642988559,1.1734355642988559
betrayal,alpha_0p1,14209,3896.0,9.74,0.0,4.0,0.15,0.05,0.285,9.230042635089292,9.226603848449576,9.059816717578627,0.220807502025607,0.11392405063291139,0.8647844100046033,20.0,1.1078041845469335,1.1614824630164229,1.1450321182655212,1.1639814643360906,1.164036053293667,1.163487771073719,1.163487771073719,1.1398664784187609,1.1398664784187609,1.1239012914680089
betrayal,alpha_0p1,14210,4418.0,11.045,0.0,4.0,0.025,0.0,0.585,8.78763796985559,8.419369922284634,8.301360364497684,0.14008924785802063,0.06329113924050633,1.0310584875349555,3.0,1.0901103320729812,1.117928390499296,1.1113430982803523,1.1153194669120134,1.117928390499296,1.117928390499296,1.1169688227479964,1.1122612058185672,1.1061500241314906,1.1061500241314906
betrayal,alpha_0p1,14211,3805.0,9.5125,0.0,4.0,0.05,0.025,0.4925,9.00739833627855,8.753021983129516,8.876428478970205,0.17856759655033194,0.0379746835443038,0.9643033684061861,24.0,1.1019927293568412,1.1144664118251917,1.1086794347601405,1.1189311430023663,1.1130410973639802,1.1130410973639802,1.1130410973639802,1.1096397729284344,1.1096397729284344,1.0968063621409256
betrayal,alpha_0p1,14212,3681.0,9.2025,0.0,34.0,0.25,0.15,0.295,9.202323212903856,9.041972807718766,8.941749725166746,0.17735026021455452,0.02531645569620253,0.972230943659515,39.0,1.1056546331460058,1.1488196602252638,1.1027181577582998,1.1678899647451648,1.1598933103162241,1.1117495721875204,1.1117495721875204,1.1015642933820784,1.0910101351858466,1.0910101351858466
betrayal,alpha_0p1,14213,3850.0,9.625,0.0,23.0,0.075,0.0,0.28,9.098548149944634,9.078526193531232,9.145867304362733,0.18827903700234477,0.06329113924050633,0.9355408830198746,10.0,1.0856639670772958,1.099959218252645,1.074860109880314,1.1063425170716175,1.0993012607361292,1.0941435077977184,1.0880986708857765,1.066984808386866,1.0597289732477733,1.0597289732477733
betrayal,alpha_0p1,14214,3752.0,9.38,0.0,4.0,0.2,0.025,0.39,9.151408645292063,9.111930594935892,8.939760454204885,0.16167234621084425,0.12658227848101267,0.9521012352309345,0.0,1.0650580089486856,1.124955813704732,1.1025843531236819,1.1131979709500481,1.1269688257340045,1.1129737241131952,1.1235432229454796,1.1156489054668128,1.0919919289329667,1.0826091380664942
betrayal,alpha_0p1,14215,3681.0,9.2025,0.0,60.0,0.05,0.0,0.34,8.989768008406452,8.89444409247038,8.830521663308488,0.15813343476786162,0.08860759493670886,0.9824475865431498,5.0,1.0981391649800623,1.1162588172447307,1.077301661583554,1.1253848743171457,1.110382467919526,1.110382467919526,1.093538792794332,1.0754242994383016,1.0663809441309882,1.0495562517393673
betrayal,alpha_0p1,14216,3657.0,9.1425,0.0,7.0,0.5,0.3,0.3225,9.106401414315815,8.97965155760328,8.838158806619573,0.20950914710953877,0.4050632911392405,1.0476190476190477,0.0,1.1883349629773083,1.1712459958811017,1.1072205641028825,1.2097421308807794,1.1645133505836047,1.1446339879374319,1.1177402973972255,1.107612617209683,1.0879392519682716,1.110628372631452
betrayal,alpha_0p1,14217,3904.0,9.76,0.0,79.0,0.05,0.025,0.625,8.676303806534465,8.587153823322621,8.602620155636282,0.16392635138784833,0.11392405063291139,0.9053314348995414,1.0,1.0963451483281401,1.1374843898096194,1.122364414127773,1.1401477114313898,1.1367067742225274,1.1354875958339279,1.1300753060337165,1.1236763791548479,1.1182168951855704,1.1067059885686787
