experiment_id,variant_id,seed,cumulative_payoff,mean_payoff,early_exploitation_rate,betrayal_recovery_time,selection_gini,entropy_early,entropy_mid,entropy_late,beta_range,trust_approach_latency,trust_withdrawal_latency,trust_asymmetry
betrayal,default_reference,14203,2261.5,11.3075,0.0,4.0,0.65,7.754575532577212,7.131229584226699,7.275819927345848,0.781148359125403,1.0,12.0,12.0
betrayal,default_reference,14204,1861.0,9.305,0.0,14.0,0.2475,9.121102674627943,8.788610326865465,7.116858239546127,0.8666729456311741,2.0,2.0,1.0
betrayal,default_reference,14205,2123.0,10.615,0.0,4.0,0.4275,7.626772994199938,7.887978677272095,7.724912302828572,0.7376987565107203,2.0,3.0,1.5
betrayal,default_reference,14206,1817.5,9.0875,0.0,4.0,0.2325,9.213951748972889,8.919311066332156,8.575262277986264,1.0970024448382802,1.0,2.0,2.0
betrayal,default_reference,14207,1945.0,9.725,0.0,25.0,0.55,8.114934797985093,8.683278309948502,8.319505018950784,0.8822719241229022,2.0,1.0,0.5
betrayal,default_reference,14208,1873.5,9.3675,0.0,4.0,0.4425,8.719002947127512,8.758660276819526,8.411162979275407,1.0123360427493142,1.0,1.0,1.0
betrayal,default_reference,14209,1961.0,9.805,0.0,4.0,0.245,8.284653146985825,8.802400089154936,9.38238352690075,1.1091651046171327,1.0,1.0,1.0
betrayal,default_reference,14210,1881.5,9.4075,0.0,4.0,0.2325,9.034135747395068,8.549189896623021,7.289600902960181,1.045836364458499,4.0,2.0,0.5
betrayal,default_reference,14211,1952.0,9.76,0.0,4.0,0.5025,8.960191246299999,8.879788762688047,8.624444513086917,1.0598922834916054,1.0,1.0,1.0
betrayal,default_reference,14212,1841.5,9.2075,0.0,22.0,0.3525,9.263508158988651,8.747824325985452,8.477201389810809,1.1540779255291973,2.0,1.0,0.5
betrayal,default_reference,14213,2180.5,10.9025,0.0,4.0,0.6225,7.871027883593366,7.7879040323559305,7.504454259153536,0.7016186839870421,1.0,2.0,2.0
