variant_id,seed,total_payoff,mean_accuracy,mean_stance_accuracy,mean_joint_accuracy,mean_q_pi_entropy,mean_abs_step_efe,planning_cost,planning_cost_ratio,total_log_evidence,mean_round_log_evidence
global_beta,428,506.0,0.075,0.875,0.065,4.73475246803485,13.802425400471547,1024.0,1.0,-136.76777049536898,-0.6838388524768451
global_beta,429,532.0,0.095,0.905,0.08,4.541988157016469,13.981923772563459,1024.0,1.0,-138.92545315363873,-0.6946272657681941
global_beta,430,552.0,0.125,0.89,0.11,5.136592616096126,13.388990733822574,1024.0,1.0,-142.90344647872516,-0.7145172323936255
global_beta,431,588.0,0.935,0.875,0.82,4.5628881208298155,12.049412660612724,1024.0,1.0,-136.0668370349998,-0.680334185174999
global_beta,432,490.0,0.085,0.865,0.055,4.669380210808792,13.749246901199221,1024.0,1.0,-139.23001404344305,-0.696150070217215
global_beta,433,504.0,0.43,0.885,0.4,5.085086631633003,13.086255711140112,1024.0,1.0,-138.32339317588674,-0.6916169658794337
global_beta,434,576.0,0.72,0.845,0.62,4.687037718070953,12.758722600073089,1024.0,1.0,-137.9690061310504,-0.689845030655252
global_beta,435,530.0,0.21,0.9,0.18,4.429131058687876,13.436711270444794,1024.0,1.0,-135.98547324140114,-0.6799273662070056
global_beta,436,464.0,0.455,0.89,0.42,5.065593233008346,12.940186774340692,1024.0,1.0,-141.65615415859477,-0.7082807707929737
global_beta,437,526.0,0.095,0.89,0.07,4.94382566974655,13.614397724246373,1024.0,1.0,-141.00048443637024,-0.705002422181851
global_beta,438,506.0,0.05,0.89,0.04,4.704794652940843,13.978830288082827,1024.0,1.0,-139.40442223536408,-0.6970221111768204
global_beta,439,516.0,0.15,0.89,0.14,4.552672559542942,13.685901264908026,1024.0,1.0,-137.64214424847108,-0.6882107212423554
global_beta,440,548.0,0.66,0.875,0.565,5.007123422809197,11.956099913694198,1024.0,1.0,-141.67847086308058,-0.7083923543154031
global_beta,441,530.0,0.185,0.87,0.165,4.818130720408274,13.479143268979387,1024.0,1.0,-140.39712054667675,-0.7019856027333836
global_beta,442,460.0,0.15,0.91,0.14,4.960122985647223,12.741042106756941,1024.0,1.0,-139.60816582645393,-0.6980408291322702
global_beta,443,502.0,0.14,0.92,0.125,4.876979803731478,13.072394441214856,1024.0,1.0,-137.6635824239125,-0.6883179121195628
global_beta,444,518.0,0.165,0.905,0.14,5.170343799025796,13.160491088974522,1024.0,1.0,-140.04687086408768,-0.700234354320438
global_beta,445,468.0,0.18,0.86,0.15,5.391741767257111,12.435890901273815,1024.0,1.0,-141.31403773562712,-0.7065701886781359
global_beta,446,534.0,0.265,0.855,0.22,5.284221985890229,12.225421412901488,1024.0,1.0,-142.899537701468,-0.7144976885073403
global_beta,447,532.0,0.285,0.875,0.25,4.811346887570791,13.741889879682567,1024.0,1.0,-143.37035480341714,-0.7168517740170853
global_beta,448,470.0,0.04,0.885,0.03,4.714198662042854,13.97319415727281,1024.0,1.0,-140.08287215371553,-0.7004143607685778
global_beta,449,516.0,0.105,0.93,0.09,5.035424162662301,13.439319508243353,1024.0,1.0,-140.39742071166512,-0.7019871035583255
no_affect,420,568.0,0.595,0.895,0.53,4.388573713842006,12.494848886535037,1024.0,1.0,-143.9432560181355,-0.7197162800906773
no_affect,421,560.0,0.59,0.93,0.55,4.607930329976092,12.112853289182532,1024.0,1.0,-139.05184767363318,-0.6952592383681658
no_affect,422,514.0,0.395,0.92,0.375,4.4636040759402675,12.982770664119162,1024.0,1.0,-140.48346227246566,-0.7024173113623283
no_affect,423,400.0,0.085,0.94,0.075,4.26681266886132,13.763035777921322,1024.0,1.0,-131.00564956101366,-0.6550282478050682
no_affect,424,574.0,0.035,0.915,0.025,4.012159106311597,14.138692087448435,1024.0,1.0,-141.4295077259592,-0.7071475386297962
no_affect,425,576.0,0.645,0.915,0.59,4.192987047918295,12.994917139466851,1024.0,1.0,-141.23168765537372,-0.7061584382768687
no_affect,426,588.0,0.29,0.955,0.275,4.276199303353116,13.197741921704727,1024.0,1.0,-145.0059900492792,-0.7250299502463963
no_affect,427,626.0,0.865,0.91,0.8,4.381860794021349,12.24026210674434,1024.0,1.0,-136.10025363265223,-0.6805012681632613
no_affect,428,540.0,0.095,0.92,0.075,4.155134057326511,13.814429315916495,1024.0,1.0,-137.44755270464876,-0.6872377635232436
no_affect,429,544.0,0.095,0.915,0.08,4.034867507529295,13.941206140124704,1024.0,1.0,-139.03002264169223,-0.6951501132084614
no_affect,430,564.0,0.12,0.91,0.11,4.315841724275265,13.430058494051918,1024.0,1.0,-138.89268409937674,-0.6944634204968838
no_affect,431,608.0,0.93,0.91,0.85,4.3660636449961245,12.122608484938974,1024.0,1.0,-132.7406674060966,-0.6637033370304828
no_affect,432,514.0,0.04,0.91,0.03,3.9609630482879665,14.320090769678353,1024.0,1.0,-137.45335145688134,-0.6872667572844071
no_affect,433,532.0,0.48,0.925,0.455,4.483670933840318,13.072491638921202,1024.0,1.0,-139.10751975723718,-0.6955375987861864
no_affect,434,580.0,0.28,0.915,0.23,4.26566551692431,13.18922602479579,1024.0,1.0,-139.71022513054427,-0.6985511256527214
no_affect,435,544.0,0.285,0.935,0.28,4.302913868283157,13.457170481876238,1024.0,1.0,-135.87980473401697,-0.679399023670085
no_affect,436,508.0,0.415,0.93,0.385,4.632822342992705,12.554184953265358,1024.0,1.0,-142.62326616053411,-0.7131163308026705
no_affect,437,470.0,0.525,0.915,0.505,4.532903679592935,12.840010589099256,1024.0,1.0,-138.5767240060919,-0.6928836200304592
no_affect,438,520.0,0.055,0.915,0.045,4.106487013408684,13.985920913927258,1024.0,1.0,-140.25823869150852,-0.7012911934575424
no_affect,439,538.0,0.13,0.915,0.115,4.124734504452204,13.792487333266763,1024.0,1.0,-137.1396595988385,-0.6856982979941922
no_affect,440,580.0,0.785,0.88,0.695,4.455804896144021,11.933113623890094,1024.0,1.0,-139.9559108152103,-0.6997795540760512
no_affect,441,546.0,0.17,0.92,0.145,4.281643924397044,13.347455406854861,1024.0,1.0,-139.93834255162014,-0.6996917127581002
no_affect,442,480.0,0.145,0.94,0.13,4.568507352336793,12.796084739286453,1024.0,1.0,-136.5381744944257,-0.6826908724721286
no_affect,443,526.0,0.155,0.91,0.13,4.324456942306407,13.407936913513113,1024.0,1.0,-140.7246421599623,-0.703623210799811
no_affect,444,544.0,0.155,0.94,0.135,4.4039736906059765,13.330882143506315,1024.0,1.0,-140.12517404259634,-0.7006258702129818
no_affect,445,528.0,0.31,0.89,0.285,4.602943893028653,12.674112924145302,1024.0,1.0,-141.7414328236753,-0.7087071641183762
no_affect,446,586.0,0.685,0.915,0.63,4.570253782098465,11.920532642295584,1024.0,1.0,-144.15226708570722,-0.7207613354285362
no_affect,447,568.0,0.285,0.925,0.26,4.026172911748927,13.722016299651004,1024.0,1.0,-143.6928071658352,-0.7184640358291763
no_affect,448,504.0,0.04,0.94,0.03,4.133024987698269,13.976463333414868,1024.0,1.0,-136.94597878824396,-0.6847298939412195
no_affect,449,534.0,0.135,0.94,0.13,4.4219442732692364,13.411460619736463,1024.0,1.0,-141.18578874586302,-0.7059289437293153
