experiment_id,variant_id,seed,cumulative_payoff,mean_payoff,early_exploitation_rate,betrayal_recovery_time,post_betrayal_p0_selection_rate,post_betrayal_p0_high_investment_rate,selection_gini,entropy_early,entropy_mid,entropy_late,beta_range,trust_approach_latency,trust_withdrawal_latency,trust_asymmetry
betrayal,default_reference,14204,2355.0,11.775,0.0,88.0,0.0,0.0,0.7325,4.546302877882529,4.186112496058259,3.8285765246667722,0.18631581598501393,1.0,95.0,95.0
betrayal,default_reference,14205,1791.5,8.9575,0.0,4.0,0.5,0.275,0.3775,8.030879150639361,7.807314986283829,6.41677797689964,0.9242192923931004,5.0,1.0,0.2
betrayal,default_reference,14206,2142.0,10.71,0.0,46.0,0.65,0.525,0.6525,4.076421089185724,5.839698320330599,6.537721637146801,0.6818547394383472,1.0,23.0,23.0
betrayal,default_reference,14207,2033.0,10.165,0.0,4.0,0.85,0.65,0.6175,6.990726252131135,5.5022849266072615,7.136124599004942,0.652049738324255,1.0,1.0,1.0
betrayal,default_reference,14208,2357.5,11.7875,0.0,66.0,0.0,0.0,0.7175,4.708912700285967,4.041450916717777,4.077983509795348,0.20527996019068895,1.0,4.0,4.0
betrayal,default_reference,14209,2338.5,11.6925,0.0,4.0,0.1,0.075,0.5775,5.578629914440662,4.403330194609652,4.23198355290959,0.58844371567929,1.0,2.0,2.0
betrayal,default_reference,14210,2366.0,11.83,0.0,,0.0,0.0,0.72,5.469165884304482,4.0059043088619415,3.5586097315039678,0.22573497931096523,4.0,1.0,0.25
betrayal,default_reference,14211,2314.0,11.57,0.0,,0.0,0.0,0.635,6.18414691590978,3.8178341094601325,4.454987379213267,0.3786443366633597,1.0,4.0,4.0
betrayal,default_reference,14212,2330.0,11.65,0.0,,0.0,0.0,0.6775,6.214406195258366,3.8703793107952857,3.953378819603874,0.34662953987928236,1.0,1.0,1.0
betrayal,default_reference,14213,2327.5,11.6375,0.0,31.0,0.025,0.0,0.7225,4.563974026955278,4.390773097450389,4.1419476214292725,0.27562817446879884,1.0,6.0,6.0
betrayal,default_reference,14214,2263.0,11.315,0.0,59.0,0.0,0.0,0.6525,7.7859750505555745,4.677769282851335,3.6925319436643402,0.5063840607116575,4.0,1.0,0.25
betrayal,default_reference,14215,2239.5,11.1975,0.0,,0.15,0.1,0.5375,5.727057599315539,4.7832494389735265,4.767835781657528,0.49199016538890983,1.0,1.0,1.0
betrayal,default_reference,14216,2158.0,10.79,0.0,4.0,0.925,0.75,0.695,4.776568334269304,5.172020094955947,6.1784319248848485,0.4118474426038562,1.0,1.0,1.0
betrayal,default_reference,14217,2380.5,11.9025,0.0,33.0,0.025,0.025,0.7275,4.283010514248358,4.0148820438979484,3.898638076993671,0.17863684215950867,2.0,1.0,0.5
betrayal,default_reference,14218,2264.0,11.32,0.0,106.0,0.0,0.0,0.68,5.237874051840229,4.748213591698989,4.842216193546854,0.44269468200775886,1.0,4.0,4.0
betrayal,default_reference,14219,2342.0,11.71,0.0,,0.0,0.0,0.7175,5.0718756803902805,4.0866946996683655,4.603944958728299,0.2942050968805442,1.0,5.0,5.0
betrayal,naive_high_alpha,14200,2421.5,12.1075,0.0,,0.025,0.025,0.7475,4.0407685285194335,3.6638379652248947,3.8345561878631007,0.10501218730324374,1.0,4.0,4.0
betrayal,naive_high_alpha,14201,2148.0,10.74,0.0,11.0,0.45,0.275,0.5375,5.388810834138963,5.907295158152253,5.217275265988326,0.67196558704073,1.0,10.0,10.0
betrayal,naive_high_alpha,14202,2304.0,11.52,0.0,4.0,0.775,0.75,0.4825,4.474632996847206,4.954856136478042,3.976736263186429,0.48175891300048346,1.0,7.0,7.0
betrayal,naive_high_alpha,14203,2293.5,11.4675,0.0,4.0,0.975,0.95,0.7275,3.8756449219797586,4.55791598775874,5.209391205140266,0.3151138605851665,1.0,98.0,98.0
betrayal,naive_high_alpha,14204,2354.5,11.7725,0.0,88.0,0.0,0.0,0.7325,4.38186877514798,4.200821515160005,3.8362598335107827,0.23807849514867815,1.0,95.0,95.0
betrayal,naive_high_alpha,14205,1924.5,9.6225,0.0,4.0,0.625,0.35,0.47,5.444561452350262,6.728263228096441,7.692055155327512,0.9801318828843234,2.0,1.0,0.5
betrayal,naive_high_alpha,14206,2302.0,11.51,0.0,,0.25,0.2,0.465,3.8749385048480267,4.660450809756307,5.241914458447352,0.7692703625552576,1.0,34.0,34.0
betrayal,naive_high_alpha,14207,2341.5,11.7075,0.0,,0.0,0.0,0.7075,5.194269077075218,3.9444024355217744,3.820169154032077,0.2928917345476583,1.0,1.0,1.0
betrayal,naive_high_alpha,14208,2357.0,11.785,0.0,66.0,0.0,0.0,0.7175,4.559667255446671,4.048797591757783,4.085799214086251,0.22313712686770487,1.0,4.0,4.0
betrayal,naive_high_alpha,14209,2255.0,11.275,0.0,86.0,0.0,0.0,0.6575,4.905499788335221,4.348678137165452,5.890076332451039,0.545932853124742,1.0,1.0,1.0
betrayal,naive_high_alpha,14210,2244.0,11.22,0.0,4.0,0.425,0.325,0.51,7.1978906733614805,4.572622799955242,4.292122888082118,0.693695064180782,3.0,1.0,0.3333333333333333
betrayal,naive_high_alpha,14211,2342.0,11.71,0.0,,0.0,0.0,0.64,5.034351381930304,3.9033443201518327,4.771648799276144,0.48296753414708604,1.0,17.0,17.0
betrayal,naive_high_alpha,14212,2373.5,11.8675,0.0,4.0,0.025,0.0,0.685,4.1073484110442795,4.154761954016756,4.241665104351033,0.4262006417385615,1.0,17.0,17.0
betrayal,naive_high_alpha,14213,2322.5,11.6125,0.0,31.0,0.025,0.0,0.69,4.372097087046852,4.469439864501111,4.41951872005853,0.3595418167552396,1.0,24.0,24.0
betrayal,naive_high_alpha,14214,2285.5,11.4275,0.0,8.0,0.65,0.575,0.5275,4.264515801690496,5.0305401967223,4.400174796002018,0.3936005342409896,1.0,1.0,1.0
betrayal,naive_high_alpha,14215,2237.5,11.1875,0.0,4.0,0.875,0.725,0.545,4.614254818746894,5.344649955025975,5.213793535054623,0.6597714198660662,1.0,2.0,2.0
betrayal,naive_high_alpha,14216,2207.0,11.035,0.0,4.0,0.925,0.775,0.69,4.268027464227604,5.19698690731538,6.108440865798232,0.5737352023323248,1.0,1.0,1.0
betrayal,naive_high_alpha,14217,2384.0,11.92,0.0,33.0,0.025,0.025,0.7275,4.0811643407430696,4.026194157904467,3.9015201635663264,0.18980726141774973,2.0,1.0,0.5
betrayal,naive_high_alpha,14218,2278.5,11.3925,0.0,,0.025,0.0,0.7225,4.138095645337588,4.7380697977477375,4.577842639378135,0.38327440989228573,1.0,36.0,36.0
betrayal,naive_high_alpha,14219,2339.0,11.695,0.0,,0.125,0.125,0.53,4.421502617118598,4.351624945554147,4.098618878437074,0.3846425532428085,1.0,1.0,1.0
betrayal,naive_low_alpha,14200,2353.0,11.765,0.0,16.0,0.025,0.0,0.67,6.066770458696462,5.951796737356587,6.188933702233529,0.10604357866007272,1.0,2.0,2.0
betrayal,naive_low_alpha,14201,2100.5,10.5025,0.0,4.0,0.525,0.3,0.5325,6.231173239870061,7.038691896367778,6.80886761607173,0.21541710203314177,1.0,5.0,5.0
betrayal,naive_low_alpha,14202,2241.0,11.205,0.0,,0.4,0.375,0.4725,6.199762197500901,6.7196167333058145,6.858804459216154,0.19809696246349295,1.0,4.0,4.0
betrayal,naive_low_alpha,14203,2221.5,11.1075,0.0,4.0,0.975,0.675,0.7175,5.801281934934593,6.301232797836878,6.608324886753531,0.12223378458569256,1.0,13.0,13.0
betrayal,naive_low_alpha,14204,2311.5,11.5575,0.0,15.0,0.025,0.025,0.7125,6.214993784516,6.085622234712333,5.79407767791128,0.09274885915507142,1.0,15.0,15.0
betrayal,naive_low_alpha,14205,1881.5,9.4075,0.0,4.0,0.7,0.4,0.465,6.807850501306789,7.265371887237437,8.014947776626023,0.2798701560438912,2.0,1.0,0.5
betrayal,naive_low_alpha,14206,2234.5,11.1725,0.0,,0.25,0.15,0.465,5.995705425146989,6.607659667945412,6.862893194697986,0.21167412334179003,1.0,18.0,18.0
betrayal,naive_low_alpha,14207,2207.5,11.0375,0.0,44.0,0.0,0.0,0.575,6.639810989050961,6.59406606565713,6.642716919128315,0.16312465076209803,1.0,1.0,1.0
