experiment_id,variant_id,seed,cumulative_payoff,mean_payoff,early_exploitation_rate,betrayal_recovery_time,post_betrayal_p0_selection_rate,post_betrayal_p0_high_investment_rate,selection_gini,entropy_early,entropy_mid,entropy_late,beta_range,alpha
betrayal,alpha_0p3,14208,1851.0,9.255,0.0,4.0,0.35,0.125,0.4325,8.918100661956569,9.015002747782106,8.927182227840987,0.32327403928638887,0.3
betrayal,alpha_0p3,14209,1910.0,9.55,0.0,4.0,0.35,0.175,0.1225,9.16797953598377,9.320537202839077,9.389001681783315,0.38812970934282515,0.3
betrayal,alpha_0p3,14210,1831.0,9.155,0.0,4.0,0.175,0.075,0.355,9.073960275537207,9.094097465593602,8.933384322701954,0.2961418829616865,0.3
betrayal,alpha_0p3,14211,2096.5,10.4825,0.0,109.0,0.0,0.0,0.565,9.018888456015306,8.26581989734374,8.872870599473162,0.3285921114435624,0.3
betrayal,alpha_0p3,14212,1875.0,9.375,0.0,33.0,0.3,0.125,0.205,9.197387099985972,9.237886883216936,9.12914984578146,0.2869310437601554,0.3
betrayal,alpha_0p3,14213,1906.0,9.53,0.0,23.0,0.05,0.0,0.4925,9.16769439311915,9.065819875805534,9.063230735762914,0.306341653613016,0.3
betrayal,alpha_0p3,14214,1887.5,9.4375,0.0,4.0,0.275,0.05,0.285,8.93736883678684,9.1175350158338,9.129224604200253,0.3300232341602557,0.3
betrayal,alpha_0p3,14215,1825.5,9.1275,0.0,7.0,0.45,0.125,0.22,9.087230845709136,8.733459890562068,8.586052489715174,0.42763184697701034,0.3
betrayal,alpha_0p3,14216,1950.0,9.75,0.0,,0.675,0.35,0.435,8.214271560837247,8.688352869576029,9.183594835759422,0.42838174260543543,0.3
betrayal,alpha_0p3,14217,1876.5,9.3825,0.0,22.0,0.225,0.1,0.485,8.722344264272744,8.793458851576911,8.565551579951226,0.3020810157964019,0.3
betrayal,alpha_0p3,14218,2097.0,10.485,0.0,4.0,0.125,0.025,0.595,8.590583213631385,8.52591013141423,8.605455122638698,0.332991462987978,0.3
betrayal,alpha_0p3,14219,1918.0,9.59,0.0,32.0,0.1,0.0,0.305,9.143870005826756,9.252267978314604,9.134130181801801,0.3006694946511469,0.3
betrayal,alpha_0p5,14200,1858.5,9.2925,0.0,22.0,0.15,0.075,0.23,9.204128827708253,9.151383750233617,9.19090215089392,0.4392610499066715,0.5
betrayal,alpha_0p5,14201,1917.0,9.585,0.0,34.0,0.4,0.2,0.41,8.704218814755961,9.039200317765692,9.17630518359455,0.5356121959520364,0.5
betrayal,alpha_0p5,14202,2186.0,10.93,0.0,102.0,0.05,0.0,0.63,8.41107078323094,7.932513982210655,7.758977572307989,0.33030045559996013,0.5
betrayal,alpha_0p5,14203,1832.0,9.16,0.0,7.0,0.4,0.1,0.425,8.63990082457487,8.827618901743367,8.478287884309125,0.5784233516699739,0.5
betrayal,alpha_0p5,14204,1875.0,9.375,0.0,14.0,0.05,0.025,0.3725,9.054310923513038,9.038495004971189,8.965279149364637,0.3923276743819315,0.5
betrayal,alpha_0p5,14205,1833.5,9.1675,0.0,4.0,0.375,0.05,0.4125,8.950744272773642,8.626586303669946,8.431773657585264,0.4985669334728986,0.5
