variant_id,round_bin_start,round_bin_end,n_seeds,bootstrap_iterations,bootstrap_seed,bootstrap_method,p0_selection_mean,p0_selection_ci_low,p0_selection_ci_high,mean_q_pi_entropy_mean,mean_q_pi_entropy_ci_low,mean_q_pi_entropy_ci_high,p0_beta_mean,p0_beta_ci_low,p0_beta_ci_high,mean_payoff_mean,mean_payoff_ci_low,mean_payoff_ci_high
lesioned,0,9,30,10000,0,seed_mean_percentile,0.22000000000000003,0.15666666666666668,0.29,7.96782002938412,7.861104881874329,8.070648983880307,1.0190176636076222,0.9930929508350315,1.040324262258612,9.8,9.444999999999999,10.15
lesioned,10,19,30,10000,0,seed_mean_percentile,0.13999999999999999,0.07666666666666669,0.21666666666666667,7.417477106387808,7.228783521058428,7.610182223823887,1.0465867042152472,1.002156386711686,1.0930977270053643,10.406666666666666,9.95,10.840000000000002
lesioned,20,29,30,10000,0,seed_mean_percentile,0.08000000000000002,0.04,0.12666666666666668,7.1619320850455255,6.9756424422984376,7.358084782190107,1.023567125699621,0.9612239645927129,1.085849598591056,10.870000000000001,10.468333333333334,11.241666666666667
lesioned,30,39,30,10000,0,seed_mean_percentile,0.04333333333333334,0.020000000000000004,0.07,6.994173377984493,6.791947665441535,7.204230103166167,1.0019457888735934,0.9216281746669216,1.078901685555494,11.003333333333334,10.595000000000002,11.379999999999999
lesioned,40,49,30,10000,0,seed_mean_percentile,0.023333333333333334,0.0,0.056666666666666664,6.929180458106702,6.742410764888363,7.129676596958629,0.9966223725594768,0.9121788991863229,1.0771645609580185,10.884999999999998,10.468333333333332,11.278333333333332
lesioned,50,59,30,10000,0,seed_mean_percentile,0.04,0.010000000000000002,0.08666666666666667,6.923507232017751,6.7579147748856645,7.093464499093892,0.9948933349455675,0.911018867447857,1.073828574015095,10.81166666666667,10.403291666666666,11.183375000000002
lesioned,60,69,30,10000,0,seed_mean_percentile,0.02,0.0,0.05999999999999999,6.795855787890657,6.661029698778261,6.940141643453514,0.9974712197176466,0.9126739750529335,1.0786579285606184,11.29666666666667,10.978333333333332,11.591666666666667
lesioned,70,79,30,10000,0,seed_mean_percentile,0.03666666666666667,0.010000000000000002,0.07666666666666666,6.904177677666218,6.720943105182005,7.097226081400789,0.9976833333997426,0.9082919322362951,1.0853939575511213,10.886666666666667,10.419999999999998,11.298333333333334
lesioned,80,89,30,10000,0,seed_mean_percentile,0.02333333333333333,0.0033333333333333335,0.05333333333333334,6.853166613930432,6.680976308544293,7.035183815720736,0.9867487124901321,0.9029623126387076,1.0675841826762302,11.159999999999998,10.770000000000001,11.526666666666669
lesioned,90,99,30,10000,0,seed_mean_percentile,0.043333333333333335,0.010000000000000002,0.09666666666666665,6.841834623325394,6.673533644752873,7.022136284381904,0.986224897362569,0.8994975852587482,1.070040535747902,10.99,10.653333333333334,11.306666666666668
