experiment_id,variant_id,seed,cumulative_payoff,mean_payoff,early_exploitation_rate,betrayal_recovery_time,selection_gini,entropy_early,entropy_mid,entropy_late,beta_range,discrimination_index,concentration_toward_p0,false_positive_rate,p0_beta_range,p1_beta_range,p2_beta_range,p3_beta_range,p0_beta_r050,p0_beta_r100,p0_beta_r150,p0_beta_r200,p1_beta_r050,p1_beta_r100,p1_beta_r150,p1_beta_r200,p2_beta_r050,p2_beta_r100,p2_beta_r150,p2_beta_r200,p3_beta_r050,p3_beta_r100,p3_beta_r150,p3_beta_r200,p0_selection_r050,p0_selection_r100,p0_selection_r150,p0_selection_r200
mixed_volatility,high_alpha,4210,1985.5,9.9275,0.03333333333333333,4.0,0.5,7.327873251301152,8.23443092142405,7.479725880666184,1.252682701657033,-0.37245156000515933,0.135,0.5369127516778524,1.198240145553659,1.0665841195706924,1.4665529643701816,1.2793535771335982,1.1607618082806122,1.7293439869458123,1.832423924562246,1.6302404607327299,1.0828778070012415,1.0828778070012415,1.3770474075753345,1.612700506507936,0.7101101962634601,1.6462217678546878,1.8634716862533114,1.411899144545156,1.197492603548267,0.7092782481626182,1.7828050572518932,0.6730599591792802,0.1,0.1,0.2,0.21052631578947367
mixed_volatility,high_alpha,4211,1912.5,9.5625,0.0,17.0,0.33,8.863050938772984,8.437280475606483,8.3467758975758,1.3342148912961767,-0.4978410996922448,0.39,0.18120805369127516,1.4034845851030073,1.3621894258341731,1.094517475683468,1.4766680785640585,1.8928204274718847,1.904235075854227,1.877941487701641,1.770077539266732,0.9520784701081486,1.3485726839563208,1.8657490537047217,1.8657490537047217,1.5981457208785788,1.5981457208785788,1.3716023614581367,1.1204732573807925,1.8359433030694745,1.8739495367809278,0.5656981378528498,0.5165446778434606,0.1,0.3,0.3,0.47368421052631576
mixed_volatility,high_alpha,4212,2111.5,10.5575,0.06666666666666667,4.0,0.59,6.8608433460876315,6.319559558842524,8.206979073578111,1.0713605710463356,-0.7939823975956896,0.095,0.8187919463087249,1.0637660575856303,1.1550961718185975,0.6009063538103426,1.4656737009707723,1.7951324550880021,1.9069791168753127,1.888086433638905,1.7811506726923405,0.7685730047084189,0.7685730047084189,1.7146684885957095,1.7146684885957095,1.1044820773827957,1.1044820773827957,1.1044820773827957,0.5035757235724531,0.5035635375380191,0.5045264532858975,0.5090734972078379,1.8522081349900146,0.05,0.05,0.05,0.21052631578947367
mixed_volatility,high_alpha,4213,2137.0,10.685,0.0,5.0,0.6375,6.660881436808811,7.739326320260456,8.002798933178703,0.973134946945016,-0.7617056033512457,0.085,0.4697986577181208,1.3794928641774846,0.13079933689309287,1.4926125909544683,0.8896349957550184,1.6918430035464844,1.8034295333072898,1.9259550045103546,1.9508666746271939,1.0828778070012415,1.0828778070012415,0.9520784701081486,0.9520784701081486,0.5031367373261848,1.4204381345694386,0.504576257728456,1.2456450212619177,1.0,0.9678374271237529,0.5081739352439948,1.393339016234724,0.0,0.25,0.0,0.05263157894736842
mixed_volatility,high_alpha,4214,2040.0,10.2,0.0,51.0,0.495,8.903661226092023,7.753341290991516,8.973710965647154,1.114017185725291,-0.5475689295006861,0.15,0.6442953020134228,1.4172416279080449,0.14820729592029858,1.4120984642508332,1.478521354821987,1.8521256278026514,1.7951142538243035,0.9598562972626645,1.7023194950565566,1.0828778070012415,1.0828778070012415,1.0828778070012415,0.9346705110809429,1.2214453785471924,0.5648690970679993,1.7326386926634556,0.5153448091234182,0.5040848631445408,0.5033764438836862,1.9514932865066843,1.96124789891803,0.1,0.05,0.35,0.15789473684210525
mixed_volatility,high_alpha,4215,1972.0,9.86,0.03333333333333333,52.0,0.4525,8.539594125089565,6.820860909222835,8.48313671805983,1.07638444506524,0.32256657593168453,0.03,0.7718120805369127,0.814190955391441,0.7347015926798813,1.28053283207224,1.4761124001173975,1.3307220331048397,1.3307220331048397,1.4343500573117773,1.814190955391441,0.5039833605213117,0.5037673669378726,0.503585080219786,1.2382577833737831,1.7369331465521254,1.8178727923150233,1.5276463672378502,1.3248596327977638,1.6153223033974018,0.5032011774238975,1.9759142441246522,1.364489053643242,0.0,0.0,0.1,0.10526315789473684
mixed_volatility,high_alpha,4216,2191.5,10.9575,0.0,4.0,0.52,7.828889292745637,7.607719663158139,7.586953049310175,0.957410849857419,0.9016141925007395,0.625,0.1476510067114094,1.3112580458005576,0.3504771708468932,1.4256094831810322,0.7422986996011931,0.5038853113883425,1.1952963944647403,1.166871319381607,1.4273168417005337,1.3447160577927186,1.3447160577927186,1.152409489966906,1.152409489966906,1.9134820137501245,0.5037068380651919,1.7421981075994055,1.042687380508255,1.4656200675821283,1.4656200675821283,1.6293167907903094,1.6293167907903094,0.95,0.5,0.5,0.47368421052631576
mixed_volatility,high_alpha,4217,1862.0,9.31,0.03333333333333333,4.0,0.2825,9.250697545923924,8.91161461541595,8.625842446827656,1.2087144354332036,-0.28474426232657385,0.315,0.5167785234899329,1.0696762282725198,0.8314678120029213,1.4780295925162361,1.455684108941137,1.817911115113581,1.7934376640791776,1.8535830876641557,1.7092877125019152,1.0403866213458466,1.3350980526935217,1.3350980526935217,1.0968298543164938,1.8591130802554239,1.9054793410466386,0.5592944944593639,0.5150028157487966,1.5928985994310916,1.9008681398006315,1.0552826608559105,0.5083012002362275,0.5,0.35,0.4,0.05263157894736842
mixed_volatility,high_alpha,4218,2221.5,11.1075,0.03333333333333333,4.0,0.6475,7.894290561928792,7.319986644001582,6.608276644212477,0.7909448244188436,0.7064507002459307,0.87,0.087248322147651,1.3997020605137207,0.08287780700124148,0.7798971442135845,0.9013022859468278,1.9028386343586485,0.5116931047102344,0.5039243661378596,1.5346660443777704,1.0403866213458466,1.0403866213458466,1.0403866213458466,1.0403866213458466,1.0742123582469603,0.5743641166120887,0.5046473421870895,1.2838151092998775,1.1716212502062548,1.7883203771359442,1.704319601162618,1.704319601162618,0.95,0.85,0.8,1.0
mixed_volatility,high_alpha,4219,2272.5,11.3625,0.06666666666666667,21.0,0.5075,6.724847314877938,6.514458989830477,6.886009706749766,0.7825059719852852,0.7589123509755371,0.45,0.1476510067114094,1.4609836758649404,0.1009152271830498,1.4852471778919085,0.08287780700124148,0.9678374271237529,1.081347581014928,0.5031369133836338,1.8696799895113658,0.9819625798181917,0.9819625798181917,0.9819625798181917,0.9819625798181917,0.5067757142253051,1.4078157864469836,1.9293672045612371,1.9689324667108485,1.0,1.0828778070012415,1.0828778070012415,1.0828778070012415,0.05,0.0,0.95,0.7368421052631579
