experiment_id,variant_id,seed,cumulative_payoff,mean_payoff,early_exploitation_rate,betrayal_recovery_time,post_betrayal_p0_selection_rate,post_betrayal_p0_high_investment_rate,selection_gini,entropy_early,entropy_mid,entropy_late,beta_range,alpha
betrayal,alpha_0p3,14210,1848.5,9.2425,0.0,4.0,0.35,0.2,0.37,7.5671559326075535,7.933340878863487,8.143039168055516,0.20951601828119787,0.3
betrayal,alpha_0p3,14211,2301.0,11.505,0.0,,0.025,0.025,0.6375,7.45649392444394,5.106246782083774,5.548878691153914,0.20466141045119257,0.3
betrayal,alpha_0p3,14212,2207.0,11.035,0.0,4.0,0.025,0.0,0.52,7.914275381637002,5.969964193945028,4.998117921520203,0.2592765521629612,0.3
betrayal,alpha_0p3,14213,2289.0,11.445,0.0,,0.075,0.05,0.625,6.476475895628349,5.742756545415837,5.871014026423284,0.1815797770900929,0.3
betrayal,alpha_0p3,14214,2361.0,11.805,0.0,35.0,0.025,0.025,0.7025,6.281268464441922,5.0749214564004514,4.614826131479892,0.15040301047656182,0.3
betrayal,alpha_0p3,14215,2232.5,11.1625,0.0,4.0,0.125,0.05,0.65,6.883701112204659,6.104917074037651,5.8737843924648505,0.20535032499365377,0.3
betrayal,alpha_0p3,14216,2135.0,10.675,0.0,4.0,0.925,0.75,0.675,6.2806880008125745,6.123023796529015,6.820932821074281,0.18615437544537378,0.3
betrayal,alpha_0p3,14217,2352.0,11.76,0.0,9.0,0.075,0.075,0.7225,5.89187761815673,5.018600598828067,4.956365140068685,0.12403783026548465,0.3
betrayal,alpha_0p3,14218,2216.5,11.0825,0.0,4.0,0.1,0.05,0.595,6.914494740608408,5.997808894816865,6.269280677973063,0.1779773481663075,0.3
betrayal,alpha_0p3,14219,2283.5,11.4175,0.0,4.0,0.075,0.025,0.6775,6.551538964960842,5.542213032098991,5.731297523205147,0.16579106790172088,0.3
betrayal,alpha_0p5,14200,2412.0,12.06,0.0,17.0,0.025,0.0,0.7275,5.219683434836075,4.580386418994885,4.50020573540254,0.13821918821765858,0.5
betrayal,alpha_0p5,14201,1976.5,9.8825,0.0,7.0,0.725,0.3,0.385,6.634071516349218,6.79225552395639,7.884643969686798,0.32150799514882134,0.5
betrayal,alpha_0p5,14202,2161.5,10.8075,0.0,4.0,0.825,0.8,0.58,6.6521698815035135,6.196945671570397,6.114624258048261,0.26094603334270194,0.5
betrayal,alpha_0p5,14203,2290.5,11.4525,0.0,4.0,1.0,0.925,0.7325,5.075385767567852,5.021511817712837,5.737972789546633,0.12157156027721677,0.5
betrayal,alpha_0p5,14204,2351.0,11.755,0.0,89.0,0.0,0.0,0.725,5.7286988474008025,4.787933760498666,4.315504520733934,0.13163575828296353,0.5
betrayal,alpha_0p5,14205,1746.0,8.73,0.0,4.0,0.6,0.4,0.35,8.0198837480026,7.953990573596269,7.34066076950191,0.35134811853409065,0.5
betrayal,alpha_0p5,14206,2128.5,10.6425,0.0,48.0,0.7,0.575,0.6725,5.218981121809167,6.269161140735091,6.919036918188051,0.2891771038252936,0.5
betrayal,alpha_0p5,14207,2310.5,11.5525,0.0,,0.0,0.0,0.695,6.480772559631097,4.66015277782917,4.475084513716595,0.17665518540225916,0.5
betrayal,alpha_0p5,14208,2348.5,11.7425,0.0,67.0,0.0,0.0,0.7125,5.5528833382068,4.628902815220653,4.798513727020095,0.14690006613069737,0.5
betrayal,alpha_0p5,14209,2257.0,11.285,0.0,4.0,0.5,0.425,0.4425,6.886014255361776,5.7387891192145775,5.898699372127473,0.35528229361567315,0.5
betrayal,alpha_0p5,14210,2149.0,10.745,0.0,4.0,0.2,0.05,0.6,7.564414752741851,6.239840761309908,4.734666627053803,0.3254283686746794,0.5
betrayal,alpha_0p5,14211,2301.0,11.505,0.0,,0.025,0.025,0.645,7.31820380367212,4.627847520617889,5.4525930135684755,0.25519183267009005,0.5
betrayal,alpha_0p5,14212,2303.5,11.5175,0.0,,0.0,0.0,0.6175,7.52426244959941,4.744524254367064,4.536774922287371,0.23046661779907404,0.5
betrayal,alpha_0p5,14213,2286.0,11.43,0.0,,0.05,0.025,0.6875,5.776848491216543,5.081654130106578,5.34313409667738,0.17135308833309432,0.5
betrayal,alpha_0p5,14214,2379.0,11.895,0.0,60.0,0.0,0.0,0.7025,5.839326100495539,4.653667771752298,4.234620250906323,0.15930013221405226,0.5
betrayal,alpha_0p5,14215,2221.0,11.105,0.0,4.0,0.1,0.05,0.66,6.51839187797467,5.488667031464698,5.263626150054222,0.23496311233012224,0.5
betrayal,alpha_0p5,14216,2148.0,10.74,0.0,4.0,0.975,0.8,0.6925,5.8865471228638055,5.771473676656834,6.61418607915393,0.19994225127737703,0.5
betrayal,alpha_0p5,14217,2367.0,11.835,0.0,11.0,0.025,0.0,0.72,5.456039005052162,4.638818372048902,4.482566920796372,0.12693633270647717,0.5
betrayal,alpha_0p5,14218,2266.0,11.33,0.0,,0.075,0.025,0.6775,6.1264920738361495,5.348025607863157,5.443390659852433,0.19920052370100133,0.5
betrayal,alpha_0p5,14219,2318.0,11.59,0.0,4.0,0.05,0.05,0.7,6.121106521891068,4.849731864689854,5.320127698932794,0.17852279395754792,0.5
betrayal,alpha_1p0,14200,2417.0,12.085,0.0,,0.025,0.025,0.7475,4.788012627051486,3.9431616397066547,4.109773829995445,0.12309075084624246,1.0
