variant_id,seed,selected_partner,selection_count,mean_payoff,mean_q_pi_entropy,mean_selected_partner_beta,total_choices,selection_rate
affect,629,0,38,1.9473684210526316,5.434883167223613,1.5716247123695506,200,0.19
affect,629,1,81,2.4074074074074074,5.533463490184122,1.5443771833962785,200,0.405
affect,629,2,55,1.5454545454545454,4.594843680556087,1.0014092571611244,200,0.275
affect,629,3,26,1.5384615384615385,5.0149748147058535,1.2064095073350953,200,0.13
affect,630,0,53,1.9056603773584906,5.143145086816383,1.334951635901358,200,0.265
affect,630,1,50,2.08,5.449719037660455,1.5425142226623267,200,0.25
affect,630,2,53,1.6415094339622642,4.508985897500137,1.135724032515582,200,0.265
affect,630,3,44,2.1818181818181817,5.631331729433925,1.464145243441107,200,0.22
affect,631,0,45,2.466666666666667,5.59527880712704,1.4547516264586533,200,0.225
affect,631,1,34,1.7647058823529411,5.213035896980095,1.1484071279787906,200,0.17
affect,631,2,39,1.8717948717948718,5.5870578191289475,1.4588120710752068,200,0.195
affect,631,3,82,2.5853658536585367,5.540333344066984,1.5244249075504506,200,0.41
affect,632,0,36,1.3888888888888888,4.035169797445942,0.7990659532158925,200,0.18
affect,632,1,85,1.588235294117647,3.789447175802771,0.9080508499590236,200,0.425
affect,632,2,37,1.5945945945945945,4.094790330627963,0.979673415307044,200,0.185
affect,632,3,42,2.0952380952380953,4.769606601645806,1.3847937455730572,200,0.21
affect,633,0,29,2.103448275862069,5.441311839313131,1.2852933421568957,200,0.145
affect,633,1,49,1.9795918367346939,4.834109445146945,1.2651486916465335,200,0.245
affect,633,2,94,2.3617021276595747,5.07088115588689,1.3628855861389129,200,0.47
affect,633,3,28,1.8571428571428572,5.643234670754355,1.5262053348441766,200,0.14
affect,634,0,73,2.1232876712328768,5.435620841954717,1.6224913957087046,200,0.365
affect,634,1,42,1.9523809523809523,5.465090594522915,1.3637168608113694,200,0.21
affect,634,2,64,1.5,4.408748236196252,1.0124524777121353,200,0.32
affect,634,3,21,1.8571428571428572,5.589570332656152,1.3371447102700549,200,0.105
affect,635,0,50,2.12,5.415042606658626,1.3889257259738932,200,0.25
affect,635,1,32,1.875,5.455450518003563,1.4687502837792092,200,0.16
affect,635,2,27,1.0740740740740742,4.398717457018149,0.927714071631338,200,0.135
affect,635,3,91,2.4065934065934065,5.566804338031027,1.5376114261694955,200,0.455
affect,636,0,51,1.7450980392156863,4.82536031640501,1.111657313905406,200,0.255
affect,636,1,44,2.090909090909091,5.369329322042874,1.4454101473402265,200,0.22
affect,636,2,70,2.1714285714285713,4.912380099135622,1.3368057126931794,200,0.35
affect,636,3,35,2.0285714285714285,5.0078706522658605,1.3257638876597002,200,0.175
affect,637,0,53,2.018867924528302,5.027953730817578,1.2738237448293914,200,0.265
affect,637,1,60,2.7,5.636260472772475,1.6002844272232566,200,0.3
affect,637,2,65,1.676923076923077,4.599264687341364,1.0860436864490122,200,0.325
affect,637,3,22,2.1818181818181817,5.544403289714312,1.5089791953605733,200,0.11
affect,638,0,62,2.838709677419355,5.073042816148578,1.4108357068616288,200,0.31
affect,638,1,55,2.7454545454545456,5.202692359671251,1.5613144206881275,200,0.275
affect,638,2,60,1.6333333333333333,4.203952888355136,0.9027104354985135,200,0.3
affect,638,3,23,1.434782608695652,4.429277856775625,0.8756756294998628,200,0.115
affect,639,0,49,2.3469387755102042,5.387866998783007,1.4854310624438092,200,0.245
affect,639,1,46,2.5652173913043477,5.462804343683119,1.5441404318888414,200,0.23
affect,639,2,37,1.5945945945945945,4.769498313975703,1.1227039094010154,200,0.185
affect,639,3,68,2.2058823529411766,5.2425929168808665,1.3918776872197778,200,0.34
affect,640,0,76,1.9736842105263157,4.585663411945386,1.1083359680727103,200,0.38
affect,640,1,61,2.3442622950819674,4.89289871506706,1.3286647437554437,200,0.305
affect,640,2,27,1.3703703703703705,4.59803200700183,0.98305927272753,200,0.135
affect,640,3,36,1.9444444444444444,5.397064155785783,1.5643849380170058,200,0.18
affect,641,0,45,2.2444444444444445,5.242100682837708,1.353322344718882,200,0.225
affect,641,1,54,1.6666666666666667,4.707347910720604,1.1774684225732617,200,0.27
affect,641,2,34,1.7058823529411764,5.461304645326985,1.4375282043392505,200,0.17
affect,641,3,67,1.8656716417910448,4.887135164414678,1.2730642502624716,200,0.335
affect,642,0,73,1.5753424657534247,4.169767879716484,0.8391062009592676,200,0.365
affect,642,1,41,1.5853658536585367,4.450758109242626,0.9930374795063378,200,0.205
affect,642,2,42,2.2857142857142856,5.046108711339677,1.258020602249086,200,0.21
affect,642,3,44,2.4545454545454546,5.053168901664036,1.4824990045523676,200,0.22
affect,643,0,68,2.764705882352941,5.05094665899208,1.4382733326684325,200,0.34
affect,643,1,32,2.0,5.144420058305888,1.5408485034025041,200,0.16
affect,643,2,60,1.7,4.074383184625913,0.8919642810535222,200,0.3
affect,643,3,40,1.6,4.460023936163076,1.0611256129188387,200,0.2
affect,644,0,57,1.456140350877193,4.024723640610657,0.8866380455572925,200,0.285
affect,644,1,57,2.3333333333333335,5.206066569969511,1.4182323704329938,200,0.285
affect,644,2,57,2.087719298245614,4.980510183739084,1.2471388748808656,200,0.285
affect,644,3,29,2.0344827586206895,5.298380612195273,1.5304100189061671,200,0.145
affect,645,0,37,1.7567567567567568,5.36039135797814,1.4854964144845744,200,0.185
affect,645,1,38,2.1578947368421053,4.844351601589095,1.3160881088046534,200,0.19
affect,645,2,69,2.101449275362319,4.611989452180588,1.157525081433377,200,0.345
affect,645,3,56,2.0714285714285716,5.287200689667666,1.5322178224823038,200,0.28
affect,646,0,40,2.2,5.3697879457933295,1.3546549518766469,200,0.2
affect,646,1,74,2.2432432432432434,4.47952522459598,1.156067082919062,200,0.37
affect,646,2,35,1.8571428571428572,4.781701563732085,1.092894711906357,200,0.175
affect,646,3,51,2.2941176470588234,5.5041652140852015,1.5511506897296177,200,0.255
affect,647,0,60,2.7,5.401692437322405,1.4880867091890972,200,0.3
affect,647,1,46,1.9565217391304348,5.004068177164665,1.2000695292560584,200,0.23
affect,647,2,41,1.4878048780487805,3.9219729842381486,0.7605305032577686,200,0.205
affect,647,3,53,2.509433962264151,5.445236234004078,1.4870849381997986,200,0.265
affect,648,0,36,2.1666666666666665,4.8782870052306,1.1499504378621948,200,0.18
affect,648,1,78,1.8461538461538463,4.624906515265646,1.224142497744099,200,0.39
affect,648,2,20,1.9,4.835171232466189,1.0448466934009706,200,0.1
affect,648,3,66,2.1515151515151514,5.353547961608644,1.5440258470014823,200,0.33
affect,649,0,41,1.975609756097561,4.148352258975312,1.136281855870731,200,0.205
affect,649,1,38,1.5789473684210527,4.246263758092872,0.9864583724076698,200,0.19
affect,649,2,96,1.2291666666666667,3.157655678210918,0.6910392955602397,200,0.48
affect,649,3,25,2.12,4.91521407854855,1.3048841630922954,200,0.125
global_beta,620,0,105,1.9714285714285715,4.787470753205977,1.251612971972504,200,0.525
global_beta,620,1,47,1.6808510638297873,4.871475987812347,1.1941402243215207,200,0.235
global_beta,620,2,24,1.0,4.680733140569012,1.059218954533755,200,0.12
global_beta,620,3,24,1.25,4.814208896824837,0.9852603175624681,200,0.12
global_beta,621,0,71,2.436619718309859,4.613515239579589,1.1186651807598205,200,0.355
global_beta,621,1,55,1.7272727272727273,4.672585562493008,1.1666379249637309,200,0.275
global_beta,621,2,45,1.7555555555555555,4.766299567353472,1.1678947864851497,200,0.225
global_beta,621,3,29,1.6896551724137931,4.851922433591961,1.1749779979693942,200,0.145
global_beta,622,0,53,1.8679245283018868,4.485480306829372,1.0107600286206613,200,0.265
global_beta,622,1,70,1.7714285714285714,4.1452951895725985,0.9215685413366492,200,0.35
global_beta,622,2,37,1.2702702702702702,3.9847925745291977,0.8006911574740456,200,0.185
global_beta,622,3,40,1.55,3.859204993122725,0.8059278917866564,200,0.2
global_beta,623,0,22,1.6363636363636365,5.567644868027292,1.4026090706731067,200,0.11
global_beta,623,1,31,1.7741935483870968,4.876585331456535,1.270833438135438,200,0.155
