variant_id,seed,total_payoff,mean_accuracy,mean_stance_accuracy,mean_joint_accuracy,mean_q_pi_entropy,mean_abs_step_efe,planning_cost,planning_cost_ratio,total_log_evidence,mean_round_log_evidence
affect,640,400.0,0.535,0.9,0.475,4.8270920736213885,12.87791222642525,1024.0,1.0,-123.41257353927004,-0.6170628676963507
affect,641,374.0,0.415,0.925,0.37,5.016068659317552,13.148147157891653,1024.0,1.0,-128.21445751608746,-0.6410722875804374
affect,642,384.0,0.67,0.925,0.635,4.605750676238674,13.059356948437635,1024.0,1.0,-116.89461633226122,-0.5844730816613061
affect,643,418.0,0.585,0.925,0.55,4.654748816006638,12.826420558096142,1024.0,1.0,-124.23409880038876,-0.6211704940019438
affect,644,394.0,0.585,0.94,0.55,4.8184858011493015,13.406329280216013,1024.0,1.0,-120.54476348145715,-0.6027238174072855
affect,645,408.0,0.475,0.84,0.39,4.983651759637134,13.029329728814773,1024.0,1.0,-131.7470935669351,-0.6587354678346751
affect,646,436.0,0.44,0.93,0.43,4.9717418255040196,12.916136732484446,1024.0,1.0,-125.93303436577386,-0.6296651718288695
affect,647,446.0,0.28,0.91,0.265,5.0184354757244956,12.648166455760366,1024.0,1.0,-126.5831843776542,-0.6329159218882708
affect,648,402.0,0.6,0.92,0.58,4.931993152472582,13.17890434994595,1024.0,1.0,-126.52419532206068,-0.6326209766103035
affect,649,312.0,0.405,0.955,0.385,3.787278812487394,13.738717349426588,1024.0,1.0,-97.72543806548126,-0.48862719032740565
global_beta,620,340.0,0.44,0.915,0.395,4.797612047056301,13.97084279147908,1024.0,1.0,-119.48359207378108,-0.5974179603689058
global_beta,621,396.0,0.38,0.945,0.345,4.698705095261697,13.780120171195595,1024.0,1.0,-120.6161893366694,-0.6030809466833472
global_beta,622,332.0,0.64,0.95,0.615,4.148533222572639,13.901648341198452,1024.0,1.0,-100.40821329564147,-0.5020410664782076
global_beta,623,420.0,0.34,0.92,0.305,5.289516057201931,13.360882052222733,1024.0,1.0,-135.47869980894802,-0.67739349904474
global_beta,624,434.0,0.29,0.92,0.27,5.167317520408992,13.310000323678832,1024.0,1.0,-135.63368957410117,-0.678168447870506
global_beta,625,386.0,0.205,0.93,0.19,5.061866424471374,13.707130885341904,1024.0,1.0,-128.75682293063443,-0.6437841146531721
global_beta,626,370.0,0.54,0.925,0.52,4.512977439182847,13.591705905710114,1024.0,1.0,-111.7671045648917,-0.5588355228244581
global_beta,627,410.0,0.485,0.93,0.47,4.914952823888966,13.568757493216545,1024.0,1.0,-121.71730612534658,-0.608586530626733
global_beta,628,372.0,0.52,0.97,0.505,3.9411018323910576,14.133974172384479,1024.0,1.0,-100.4420222706139,-0.5022101113530694
global_beta,629,466.0,0.385,0.905,0.345,5.2843246899305685,13.112472030117642,1024.0,1.0,-141.134793519626,-0.70567396759813
global_beta,630,392.0,0.195,0.9,0.175,4.677528597159887,13.755182295133126,1024.0,1.0,-126.3355108666336,-0.6316775543331682
global_beta,631,464.0,0.395,0.94,0.37,5.296547304097796,12.79712811261299,1024.0,1.0,-135.22936000554208,-0.6761468000277105
global_beta,632,384.0,0.31,0.885,0.27,4.323703533973672,13.926670153300512,1024.0,1.0,-115.53778847382723,-0.5776889423691358
